cell	sub
T0_CT_A01	1
T0_CT_A02	1
T0_CT_A03	1
T0_CT_A04	1
T0_CT_A05	1
T0_CT_A06	1
T0_CT_A07	1
T0_CT_A08	1
T0_CT_A09	1
T0_CT_A10	1
T0_CT_A11	1
T0_CT_A12	1
T0_CT_B01	1
T0_CT_B02	1
T0_CT_B03	1
T0_CT_B04	1
T0_CT_B05	1
T0_CT_B06	1
T0_CT_B07	1
T0_CT_B08	1
T0_CT_B09	1
T0_CT_B10	1
T0_CT_B11	1
T0_CT_B12	1
T0_CT_C01	1
T0_CT_C02	1
T0_CT_C03	1
T0_CT_C04	1
T0_CT_C05	1
T0_CT_C06	1
T0_CT_C07	1
T0_CT_C08	1
T0_CT_C09	1
T0_CT_C10	1
T0_CT_C11	1
T0_CT_C12	1
T0_CT_D01	1
T0_CT_D02	1
T0_CT_D03	1
T0_CT_D04	1
T0_CT_D05	1
T0_CT_D06	1
T0_CT_D07	1
T0_CT_D08	1
T0_CT_D09	1
T0_CT_D10	1
T0_CT_D11	1
T0_CT_D12	1
T0_CT_E01	1
T0_CT_E02	1
T0_CT_E03	1
T0_CT_E04	1
T0_CT_E05	1
T0_CT_E06	1
T0_CT_E07	1
T0_CT_E08	1
T0_CT_E09	1
T0_CT_E10	1
T0_CT_E11	1
T0_CT_E12	1
T0_CT_F01	1
T0_CT_F02	1
T0_CT_F03	1
T0_CT_F04	1
T0_CT_F05	1
T0_CT_F06	1
T0_CT_F07	1
T0_CT_F08	1
T0_CT_F09	1
T0_CT_F10	1
T0_CT_F11	1
T0_CT_F12	1
T0_CT_G01	1
T0_CT_G02	1
T0_CT_G03	1
T0_CT_G04	1
T0_CT_G05	1
T0_CT_G06	1
T0_CT_G07	1
T0_CT_G08	1
T0_CT_G09	1
T0_CT_G10	1
T0_CT_G11	1
T0_CT_G12	1
T0_CT_H01	1
T0_CT_H02	1
T0_CT_H03	1
T0_CT_H04	1
T0_CT_H05	1
T0_CT_H06	1
T0_CT_H07	1
T0_CT_H08	1
T0_CT_H09	1
T0_CT_H10	1
T0_CT_H11	1
T0_CT_H12	1
T24_CT_A01	2
T24_CT_A02	2
T24_CT_A03	2
T24_CT_A04	2
T24_CT_A05	2
T24_CT_A06	2
T24_CT_A07	2
T24_CT_A08	2
T24_CT_A09	2
T24_CT_A10	2
T24_CT_A11	2
T24_CT_A12	2
T24_CT_B01	2
T24_CT_B02	2
T24_CT_B03	2
T24_CT_B04	2
T24_CT_B05	2
T24_CT_B06	2
T24_CT_B07	2
T24_CT_B08	2
T24_CT_B09	2
